date,location,id,url,name
"February 27, 2016","London, England, United Kingdom",102,http://www.fightmetric.com/event-details/39c568f8c579913e,UFC Fight Night: Silva vs Bisping
"February 21, 2016","Pittsburgh, Pennsylvania, USA",103,http://www.fightmetric.com/event-details/d56bb6dff2ae77eb,UFC Fight Night: Cowboy vs Cowboy
"February 06, 2016","Las Vegas, Nevada, USA",104,http://www.fightmetric.com/event-details/de99da2c0d18d34a,UFC Fight Night: Hendricks vs Thompson
"January 30, 2016","Newark, New Jersey, USA",105,http://www.fightmetric.com/event-details/b3fb8d2293e17a59,UFC Fight Night: Johnson vs. Bader
"January 17, 2016","Boston, Massachusetts, USA",106,http://www.fightmetric.com/event-details/c6becb722706c7d8,UFC Fight Night: Dillashaw vs Cruz
"January 02, 2016","Las Vegas, Nevada, USA",107,http://www.fightmetric.com/event-details/380e8b023290d091,UFC 195: Lawler vs Condit
"December 19, 2015","Orlando, Florida, USA",108,http://www.fightmetric.com/event-details/80d918336163b80c,UFC on FOX: Dos Anjos vs. Cowboy 2
"December 12, 2015","Las Vegas, Nevada, USA",109,http://www.fightmetric.com/event-details/354808cf38d9d73c,UFC 194: Aldo vs McGregor
"December 11, 2015","Las Vegas, Nevada, USA",110,http://www.fightmetric.com/event-details/20fbff570c678e1c,The Ultimate Fighter 22 Finale
"December 10, 2015","Las Vegas, Nevada, USA",111,http://www.fightmetric.com/event-details/dd39f1ca787a3d9d,UFC Fight Night: Namajunas vs. VanZant
"November 28, 2015","Seoul, South Korea",112,http://www.fightmetric.com/event-details/4d636c3aa1105950,UFC Fight Night: Henderson vs Masvidal
"November 21, 2015","Monterrey, Nuevo Leon, Mexico",113,http://www.fightmetric.com/event-details/243b07fc65ccbb16,UFC Fight Night: Magny vs Gastelum
"November 14, 2015","Melbourne, Victoria, Australia",114,http://www.fightmetric.com/event-details/8d04923f2db59b7f,UFC 193: Rousey vs Holm
"November 07, 2015","Sao Paulo, Sao Paulo, Brazil",115,http://www.fightmetric.com/event-details/5345f86680378fc1,UFC Fight Night: Belfort vs Henderson
"October 24, 2015","Dublin, Leinster, Ireland",116,http://www.fightmetric.com/event-details/f3155a94ca420126,UFC Fight Night: Holohan vs Smolka
"October 03, 2015","Houston, Texas, USA",117,http://www.fightmetric.com/event-details/119ebea97e914dcf,UFC 192: Cormier vs Gustafsson
"September 26, 2015","Saitama, Japan",118,http://www.fightmetric.com/event-details/a4dd5c9a75763295,UFC Fight Night: Barnett vs Nelson
"September 05, 2015","Las Vegas, Nevada, USA",119,http://www.fightmetric.com/event-details/82f5c81f4e3c3eb5,UFC 191: Johnson vs Dodson 2
"August 23, 2015","Saskatoon, Saskatchewan, Canada",120,http://www.fightmetric.com/event-details/2ce6541127b0e232,UFC Fight Night: Holloway vs Oliveira
"August 08, 2015","Nashville, Tennessee, USA",121,http://www.fightmetric.com/event-details/b71667c778b6d9e5,UFC Fight Night: Teixeira vs Saint Preux
"August 01, 2015","Rio de Janeiro, Rio de Janeiro, Brazil",122,http://www.fightmetric.com/event-details/a9c45a8b21eabadc,UFC 190: Rousey vs Correia
"July 25, 2015","Chicago, Illinois, USA",123,http://www.fightmetric.com/event-details/0c3838c8f7c620c2,UFC on Fox: Dillashaw vs. Barao II
"July 18, 2015","Glasgow, Scotland, United Kingdom",124,http://www.fightmetric.com/event-details/ef7fa30364cbe7f2,UFC Fight Night: Bisping vs Leites
"July 15, 2015","San Diego, California, USA",125,http://www.fightmetric.com/event-details/36877f0e62b25b96,UFC Fight Night: Mir vs Duffee
"July 12, 2015","Las Vegas, Nevada, USA",126,http://www.fightmetric.com/event-details/a890f9a791ed615d,The Ultimate Fighter 21 Finale
"July 11, 2015","Las Vegas, Nevada, USA",127,http://www.fightmetric.com/event-details/3be081c29bf734d9,UFC 189: Mendes vs McGregor
"June 27, 2015","Hollywood, Florida, USA",128,http://www.fightmetric.com/event-details/86e388ed20761ad9,UFC Fight Night: Machida vs Romero
"June 20, 2015","Berlin, Berlin, Germany",129,http://www.fightmetric.com/event-details/194fc025f9355db6,UFC Fight Night: Jedrzejczyk vs Penne
"June 13, 2015","Mexico City, Distrito Federal, Mexico",130,http://www.fightmetric.com/event-details/a58114c6dd0add64,UFC 188: Velasquez vs Werdum
"June 06, 2015","New Orleans, Louisiana, USA",131,http://www.fightmetric.com/event-details/06dc1a58663579d2,UFC Fight Night: Boetsch vs Henderson
"May 30, 2015","Goiania, Goias, Brazil",132,http://www.fightmetric.com/event-details/aae0897825336b1a,UFC Fight Night: Condit vs Alves
"May 23, 2015","Las Vegas, Nevada, USA",133,http://www.fightmetric.com/event-details/4f7e290e71d60f87,UFC 187: Johnson vs Cormier
"May 16, 2015","Manila, Philippines",134,http://www.fightmetric.com/event-details/b1605ea39fba6af6,UFC Fight Night: Edgar vs Faber
"May 09, 2015","Adelaide, South Australia, Australia",135,http://www.fightmetric.com/event-details/8a1b4330c7957961,UFC Fight Night: Miocic vs Hunt
"April 25, 2015","Montreal, Quebec, Canada",136,http://www.fightmetric.com/event-details/997b4f52f76a0b53,UFC 186: Johnson vs Horiguchi
"April 18, 2015","Newark, New Jersey, USA",137,http://www.fightmetric.com/event-details/bc7cf284c1c2f16e,UFC Fight Night: Machida vs Rockhold
"April 11, 2015","Krakow, Poland",138,http://www.fightmetric.com/event-details/5de61b03868035ff,UFC Fight Night: Gonzaga vs Cro Cop 2
"April 04, 2015","Fairfax, Virginia, USA",139,http://www.fightmetric.com/event-details/16d09e800ad7ec79,UFC Fight Night: Mendes vs Lamas
"March 21, 2015","Rio de Janeiro, Brazil",140,http://www.fightmetric.com/event-details/fa534853eb195270,UFC Fight Night: Maia vs LaFlare
"March 14, 2015","Dallas, Texas, USA",141,http://www.fightmetric.com/event-details/f54200f1dfb9b5d4,UFC 185: Pettis vs Dos Anjos
"February 28, 2015","Los Angeles, California, USA",142,http://www.fightmetric.com/event-details/ad4e9055bf8cd04d,UFC 184: Rousey vs Zingano
"February 22, 2015","Porto Alegre, Rio Grande do Sul, Brazil",143,http://www.fightmetric.com/event-details/0577808d22dfe79c,UFC Fight Night: Bigfoot vs Mir
"February 14, 2015","Broomfield, Colorado, USA",144,http://www.fightmetric.com/event-details/f9c7fe2682af3802,UFC Fight Night: Henderson vs Thatch
"January 31, 2015","Las Vegas, Nevada, USA",145,http://www.fightmetric.com/event-details/43563a32c3f10e95,UFC 183: Silva vs Diaz
"January 24, 2015","Stockholm, Sweden",146,http://www.fightmetric.com/event-details/706404da0775dcbc,UFC Fight Night: Gustafsson vs Johnson
"January 18, 2015","Boston, Massachusetts, USA",147,http://www.fightmetric.com/event-details/f9aa6376ae16bfb4,UFC Fight Night: McGregor vs Siver
"January 03, 2015","Las Vegas, Nevada, USA",148,http://www.fightmetric.com/event-details/a72d260b436924c4,UFC 182: Jones vs Cormier
"December 20, 2014","Barueri, Sao Paulo, Brazil",149,http://www.fightmetric.com/event-details/4e5bbc4566049cbf,UFC Fight Night: Machida vs Dollaway
"December 13, 2014","Phoenix, Arizona, USA",150,http://www.fightmetric.com/event-details/d4a12dfa4067742f,UFC Fight Night: Dos Santos vs Miocic
"December 12, 2014","Las Vegas, Nevada, USA",151,http://www.fightmetric.com/event-details/222d6b547de2e035,The Ultimate Fighter 20 Finale
"December 06, 2014","Las Vegas, Nevada, USA",152,http://www.fightmetric.com/event-details/dfdd0c5dd0d4bc23,UFC 181: Hendricks vs Lawler II
"November 22, 2014","Austin, Texas, USA",153,http://www.fightmetric.com/event-details/155a02a8b4311057,UFC Fight Night: Edgar vs Swanson
"November 15, 2014","Mexico City, Distrito Federal, Mexico",154,http://www.fightmetric.com/event-details/59851163aaf1aed8,UFC 180: Werdum vs Hunt
"November 08, 2014","Uberlandia, Minas Gerais, Brazil",155,http://www.fightmetric.com/event-details/6ca68b636fbc1f18,UFC Fight Night 56: Shogun vs Saint Preux
"November 07, 2014","Sydney, New South Wales, Australia",156,http://www.fightmetric.com/event-details/371a1c91b24dec2b,UFC Fight Night: Rockhold vs Bisping
"October 25, 2014","Rio de Janeiro, Brazil",157,http://www.fightmetric.com/event-details/53f02bbc41d99432,UFC 179: Aldo vs Mendes 2
"October 04, 2014","Halifax, Nova Scotia, Canada",158,http://www.fightmetric.com/event-details/0313bf497de9c470,UFC Fight Night: MacDonald vs Saffiedine
"October 04, 2014","Stockholm, Sweden",159,http://www.fightmetric.com/event-details/8dc4f34c1f50d00d,UFC Fight Night: Nelson vs Story
"September 27, 2014","Las Vegas, Nevada, USA",160,http://www.fightmetric.com/event-details/3bb030257966b022,UFC 178: Johnson vs Cariaso
"September 20, 2014","Saitama, Japan",161,http://www.fightmetric.com/event-details/2dea80c069847321,UFC Fight Night: Hunt vs Nelson
"September 13, 2014","Brasilia, Distrito Federal, Brazil",162,http://www.fightmetric.com/event-details/a71feb7ea7592a71,UFC Fight Night: Silva vs Arlovski
"September 05, 2014","Ledyard, Connecticut, USA",163,http://www.fightmetric.com/event-details/9bcfb40dbcd50568,UFC Fight Night: Souza vs Mousasi
"August 30, 2014","Sacramento, California, USA",164,http://www.fightmetric.com/event-details/269d103c96a4c3a5,UFC 177: Dillashaw vs Soto
"August 23, 2014","Tulsa, Oklahoma, USA",165,http://www.fightmetric.com/event-details/063649e21bc9d6d5,UFC Fight Night: Henderson vs Dos Anjos
"August 23, 2014","Macau, China",166,http://www.fightmetric.com/event-details/770b9d4813c25902,UFC Fight Night: Bisping vs Le
