nickname,id,name,url
,145,Dustin Ortiz,http://www.fightmetric.com/fighter-details/f53c1f4ceeed8c08
,146,Matheus Nicolau,http://www.fightmetric.com/fighter-details/1a31ef98efce7a79
"""The Strina""",147,Nina Ansaroff,http://www.fightmetric.com/fighter-details/d343df8ba11f4c4e
,148,Devin Powell,http://www.fightmetric.com/fighter-details/065eb44700e641a4
"""Chango""",149,Alvaro Herrera,http://www.fightmetric.com/fighter-details/74d35fbc9c6a61bd
"""Shogun""",150,Mauricio Rua,http://www.fightmetric.com/fighter-details/140745cbbcb023ac
"""Lionheart""",151,Anthony Smith,http://www.fightmetric.com/fighter-details/d4c9dcd330403612
,152,Glover Teixeira,http://www.fightmetric.com/fighter-details/7ff97850e8c32bda
"""Overtime""",153,Corey Anderson,http://www.fightmetric.com/fighter-details/5e4eec08896c9423
"""Lex Luthor""",154,Vitor Miranda,http://www.fightmetric.com/fighter-details/4bcb6eb12b4ad4aa
"""Gladiator""",155,Abu Azaitar,http://www.fightmetric.com/fighter-details/46d0a888d87d91ac
"""Tybur""",156,Marcin Tybura,http://www.fightmetric.com/fighter-details/c9cf753cfdf77fc2
"""Skyscraper""",157,Stefan Struve,http://www.fightmetric.com/fighter-details/ebc1f40e00e0c481
"""Hot Chocolate""",158,Danny Roberts,http://www.fightmetric.com/fighter-details/a6cba6bb66c1a8c9
"""Sagat""",159,David Zawada,http://www.fightmetric.com/fighter-details/3bb2dc8e87b10a46
,160,Nasrat Haqparast,http://www.fightmetric.com/fighter-details/b7b84ccd221be298
"""Bonecrusher""",161,Marc Diakiese,http://www.fightmetric.com/fighter-details/32c355b04fc57f3a
"""Sergeant""",162,Nick Hein,http://www.fightmetric.com/fighter-details/2816ced060a21be3
"""The Bosnian Bomber""",163,Damir Hadzovic,http://www.fightmetric.com/fighter-details/38c626ca912c7bac
"""Valhalla""",164,Emil Meek,http://www.fightmetric.com/fighter-details/103b06d8707895a9
"""The Butcher""",165,Bartosz Fabinski,http://www.fightmetric.com/fighter-details/e17ac6410c8377f4
"""The Warrior""",166,Khalid Taha,http://www.fightmetric.com/fighter-details/b4537562f88ac582
"""Smiler""",167,Nad Narimani,http://www.fightmetric.com/fighter-details/776a58a67665a171
"""El Blanco""",168,Justin Ledet,http://www.fightmetric.com/fighter-details/ba1e6cb3d43f7430
,169,Aleksandar Rakic,http://www.fightmetric.com/fighter-details/333b9e5c723ac873
"""Dangerous""",170,Davey Grant,http://www.fightmetric.com/fighter-details/113df4fde64735c6
"""The Bermudez Triangle""",171,Manny Bermudez,http://www.fightmetric.com/fighter-details/2dc1bc1a02961656
"""Grizzly""",172,Jeremy Kimball,http://www.fightmetric.com/fighter-details/917a5cb9821df261
,173,Darko Stosic,http://www.fightmetric.com/fighter-details/025f0b1b58fbad01
"""Webster""",174,Damian Stasiak,http://www.fightmetric.com/fighter-details/42a7e90605df3c8a
,175,Liu Pingyuan,http://www.fightmetric.com/fighter-details/31bbd39c0a075d4e
"""Cigano""",176,Junior Dos Santos,http://www.fightmetric.com/fighter-details/63def5a5662a6917
"""Baga""",177,Blagoy Ivanov,http://www.fightmetric.com/fighter-details/1788eee370f077b7
